id,prime,target,value
1,Black,gun,0.984891684626491
1,White,gun,0.981464106364562
1,Black,tool,0.9899858733837
1,White,tool,0.984763415183963
2,Black,gun,0.983491518295704
2,White,gun,0.980909018150277
2,Black,tool,0.985990915030912
2,White,tool,0.999989269217044
3,Black,gun,1.04223528940817
3,White,gun,1.00189762772385
3,Black,tool,1.02157917761684
3,White,tool,1.03206010473374
4,Black,gun,0.994360454194359
4,White,gun,1.00184498965752
4,Black,tool,1.01092561188944
4,White,tool,1.01252937449914
5,Black,gun,1.01649346409718
5,White,gun,1.01349255656731
5,Black,tool,1.00370318798025
5,White,tool,1.03339034178531
6,Black,gun,1.01029885589346
6,White,gun,0.997306312815253
6,Black,tool,0.991445859961592
6,White,tool,1.03711177209116
7,Black,gun,0.979373777399665
7,White,gun,0.969615688495609
7,Black,tool,0.980964839250865
7,White,tool,0.996507915826301
8,Black,gun,0.933911456932779
8,White,gun,0.953343082437979
8,Black,tool,0.959576305450321
8,White,tool,0.953153565858811
9,Black,gun,1.01959057631953
9,White,gun,1.01514151992346
9,Black,tool,1.01373592373697
9,White,tool,1.0269730320879
10,Black,gun,0.966110480552928
10,White,gun,0.961040545676466
10,Black,tool,0.973878109007846
10,White,tool,0.978155979979213
11,Black,gun,1.01153610711877
11,White,gun,1.00871538737805
11,Black,tool,1.0403944395437
11,White,tool,0.999053316770476
12,Black,gun,0.991893157365771
12,White,gun,1.00555606036175
12,Black,tool,1.00509287542905
12,White,tool,1.01220771082175
13,Black,gun,0.985829269463324
13,White,gun,0.997887351932809
13,Black,tool,1.00244828358726
13,White,tool,1.00990587217255
14,Black,gun,0.994024771536741
14,White,gun,1.01295825659847
14,Black,tool,1.03781066972784
14,White,tool,1.04687684103927
15,Black,gun,0.99952892008072
15,White,gun,0.99807301551495
15,Black,tool,0.997858947213563
15,White,tool,0.996428817611449
16,Black,gun,0.965705200242046
16,White,gun,0.954760756540218
16,Black,tool,0.966055390815419
16,White,tool,0.982715128489705
17,Black,gun,0.99245850189646
17,White,gun,1.0026514610537
17,Black,tool,1.00686257589731
17,White,tool,1.01591141763574
18,Black,gun,1.01598802898129
18,White,gun,1.00509049344618
18,Black,tool,1.00035596600324
18,White,tool,1.01288988211983
19,Black,gun,1.02114678296101
19,White,gun,1.03218948880959
19,Black,tool,1.01761010245175
19,White,tool,1.00696951895268
20,Black,gun,0.991332804058076
20,White,gun,0.988558572781701
20,Black,tool,0.987024616696048
20,White,tool,0.998226284720685
21,Black,gun,0.984266568486715
21,White,gun,0.993714036349004
21,Black,tool,0.982008161187125
21,White,tool,0.982104273985635
22,Black,gun,1.00219000215855
22,White,gun,1.0013585887676
22,Black,tool,0.996549446879895
22,White,tool,1.01143409830012
23,Black,gun,0.965262978133047
23,White,gun,0.963937636803304
23,Black,tool,0.962888162495515
23,White,tool,0.994923560171255
24,Black,gun,0.976157404514498
24,White,gun,1.01088968265516
24,Black,tool,0.983743089545836
24,White,tool,1.00605012575305
25,Black,gun,1.05709197242771
25,White,gun,1.06024608183346
25,Black,tool,1.05668169688048
25,White,tool,1.07142173662434
26,Black,gun,0.975604652672911
26,White,gun,0.96309680012551
26,Black,tool,0.965205196781123
26,White,tool,0.963571009576407
27,Black,gun,1.02343300769711
27,White,gun,1.03475831524084
27,Black,tool,1.01849386309847
27,White,tool,1.03045163219106
28,Black,gun,0.996235399337474
28,White,gun,1.00007882613924
28,Black,tool,0.977173511143327
28,White,tool,1.00357716503064
29,Black,gun,0.996759586822869
29,White,gun,1.01747179451938
29,Black,tool,1.00915265242072
29,White,tool,1.03149945085372
30,Black,gun,1.00682834801419
30,White,gun,1.02068269225099
30,Black,tool,1.00568805257971
30,White,tool,1.01910191971981
31,Black,gun,1.02315215363116
31,White,gun,0.996312557551755
31,Black,tool,1.00005900072519
31,White,tool,1.00015216354725
